Incident ID,Incident Date,State,City Or County,Address,Killed,Injured,Latitude,Longitude
3096143,17/12/2024,Maryland,Towson,8521 Loch Raven Blvd,1,8,39.4018513,-76.6023803
3094796,16/12/2024,Wisconsin,Madison,4901 E Buckeye Rd,2,6,43.074761,-89.3837613
3094534,15/12/2024,Louisiana,New Orleans,6100 Franklin Ave,2,2,29.9759983,-90.0782127
3094383,15/12/2024,Pennsylvania,Philadelphia,400 block of E Wyoming Ave,1,4,39.9527237,-75.1635262
3094496,14/12/2024,Texas,Houston,10126 Jensen Dr,2,4,29.7589382,-95.3676974
3096566,14/12/2024,Utah,Salt Lake City (West Valley City),3761 S Oxford Way,4,1,40.7197333,-111.9292067
3094239,14/12/2024,New Mexico,Belen,5 Cam Escondido,4,0,34.6627495,-106.7762
3094604,14/12/2024,Louisiana,Shreveport,199 Pierremont Rd,1,3,32.5135356,-93.7477839
3096263,13/12/2024,Georgia,Valdosta,1785 W Hill Ave,0,4,30.8327022,-83.2784851
3091264,10/12/2024,Florida,Lake Worth (Lake Worth Beach),614 Lake Ave,2,2,26.615891,-80.0691435
3089791,08/12/2024,Illinois,Cicero,W Roosevelt Rd and S Cicero Ave,1,3,41.8455398,-87.7540199
3089589,07/12/2024,Georgia,Atlanta,200 Vineyard Walk,4,0,33.7489924,-84.3902644
3089440,07/12/2024,Washington,Seattle,814 S Lane St,0,5,47.6038321,-122.330062
3088976,06/12/2024,Alabama,Theodore,5375 Laurendine Rd,1,6,30.5463684,-88.2023936859469
3086267,03/12/2024,Michigan,Kalamazoo,4250 W Main St,0,4,42.291707,-85.5872286
3085310,02/12/2024,Illinois,Chicago,3511 W 59th St,3,5,41.8755616,-87.6244212
3084870,01/12/2024,Florida,Hollywood,2930 Hollywood Blvd,2,2,26.0112014,-80.1494901
3084917,01/12/2024,North Carolina,Red Springs,114 S Main St,0,5,34.815158,-79.1837649
3084726,01/12/2024,Louisiana,New Orleans,700 block of Canal St,0,4,29.9759983,-90.0782127
3084397,29/11/2024,Florida,Bradenton,5012 15th St E,0,5,27.4989278,-82.5748194
3083179,28/11/2024,Texas,San Antonio,600 block of Potomac St,2,2,29.4246002,-98.4951405
3081839,26/11/2024,Tennessee,Jackson,Wallace Rd and Fairmeadow Cove,1,4,35.6144446,-88.8177418
3081420,25/11/2024,Florida,Miami,1600 block of NW 59th St,0,4,25.7741728,-80.19362
3080319,24/11/2024,Missouri,Saint Louis,700 block of Carr St,2,3,38.6280278,-90.1910154
3080239,24/11/2024,Colorado,Denver,Montview Blvd and Quebec St,0,4,39.7392364,-104.984862
3077345,21/11/2024,Louisiana,New Orleans,716 Iberville St,1,3,29.9759983,-90.0782127
3074550,18/11/2024,Colorado,Denver,7150 Leetsdale Dr,0,4,39.7392364,-104.984862
3074162,17/11/2024,Mississippi,Sandy Hook,50 block of Sunlight Church Rd,1,3,31.0362936,-89.8047993
